Nivel,Familia,Título,Módulo,Cuerpo,URL
Grado Medio,Informática y Comunicaciones,Técnico en Sistemas Microinformáticos y Redes,Redes locales,Informática (CAT/PES),https://www.todofp.es/que-estudiar/familias-profesionales/informatica-comunicaciones/sistemas-microniformaticos-redes/atribucion-docente.html
Grado Medio,Informática y Comunicaciones,Técnico en Sistemas Microinformáticos y Redes,Servicios en red,Informática (CAT/PES),https://www.todofp.es/que-estudiar/familias-profesionales/informatica-comunicaciones/sistemas-microniformaticos-redes/atribucion-docente.html
Grado Medio,Informática y Comunicaciones,Técnico en Sistemas Microinformáticos y Redes,Seguridad Informática,Informática (CAT/PES),https://www.todofp.es/que-estudiar/familias-profesionales/informatica-comunicaciones/sistemas-microniformaticos-redes/atribucion-docente.html
Grado Medio,Informática y Comunicaciones,Técnico en Sistemas Microinformáticos y Redes,Aplicaciones web,Informática (CAT/PES),https://www.todofp.es/que-estudiar/familias-profesionales/informatica-comunicaciones/sistemas-microniformaticos-redes/atribucion-docente.html
Grado Medio,Informática y Comunicaciones,Técnico en Sistemas Microinformáticos y Redes,Proyecto intermodular,Informática (CAT/PES),https://www.todofp.es/que-estudiar/familias-profesionales/informatica-comunicaciones/sistemas-microniformaticos-redes/atribucion-docente.html
Grado Medio,Informática y Comunicaciones,Técnico en Sistemas Microinformáticos y Redes,Sostenibilidad aplicada al sistema productivo,Informática (CAT/PES),https://www.todofp.es/que-estudiar/familias-profesionales/informatica-comunicaciones/sistemas-microniformaticos-redes/atribucion-docente.html
Grado Medio,Informática y Comunicaciones,Técnico en Sistemas Microinformáticos y Redes,Digitalización aplicada a los sectores productivos (GM),Informática (CAT/PES),https://www.todofp.es/que-estudiar/familias-profesionales/informatica-comunicaciones/sistemas-microniformaticos-redes/atribucion-docente.html
Grado Medio,Seguridad y Medio Ambiente,Técnico en Seguridad,Tecnología aplicada a la seguridad,Informática (CAT/PES),https://www.todofp.es/que-estudiar/familias-profesionales/seguridad-medio-ambiente/tecnico-seguridad-gm/atribucion-docente.html
Grado Medio,Seguridad y Medio Ambiente,Técnico en Seguridad, Proyecto intermodular,Informática (CAT/PES),https://www.todofp.es/que-estudiar/familias-profesionales/seguridad-medio-ambiente/tecnico-seguridad-gm/atribucion-docente.html
Grado Medio,Seguridad y Medio Ambiente,Técnico en Seguridad,Sostenibilidad aplicada al sistema productivo,Informática (CAT/PES),https://www.todofp.es/que-estudiar/familias-profesionales/seguridad-medio-ambiente/tecnico-seguridad-gm/atribucion-docente.html
Grado Medio,Seguridad y Medio Ambiente,Técnico en Seguridad, Digitalización aplicada a los sectores productivos (GM),Informática (CAT/PES),https://www.todofp.es/que-estudiar/familias-profesionales/seguridad-medio-ambiente/tecnico-seguridad-gm/atribucion-docente.html
Grado Superior,Informática y Comunicaciones,Técnico Superior en Administración de Sistemas Informáticos en Red,Planificación y administración de redes,Informática (CAT/PES),https://www.todofp.es/que-estudiar/familias-profesionales/informatica-comunicaciones/admin-sist-informaticos-red/atribucion-docente.html
Grado Superior,Informática y Comunicaciones,Técnico Superior en Administración de Sistemas Informáticos en Red,Gestión de bases de datos,Informática (CAT/PES),https://www.todofp.es/que-estudiar/familias-profesionales/informatica-comunicaciones/admin-sist-informaticos-red/atribucion-docente.html
Grado Superior,Informática y Comunicaciones,Técnico Superior en Administración de Sistemas Informáticos en Red,Lenguajes de marcas y sistemas de gestión de información,Informática (CAT/PES),https://www.todofp.es/que-estudiar/familias-profesionales/informatica-comunicaciones/admin-sist-informaticos-red/atribucion-docente.html
Grado Superior,Informática y Comunicaciones,Técnico Superior en Administración de Sistemas Informáticos en Red,Servicios de red e Internet,Informática (CAT/PES),https://www.todofp.es/que-estudiar/familias-profesionales/informatica-comunicaciones/admin-sist-informaticos-red/atribucion-docente.html
Grado Superior,Informática y Comunicaciones,Técnico Superior en Administración de Sistemas Informáticos en Red,Implantación de aplicaciones web,Informática (CAT/PES),https://www.todofp.es/que-estudiar/familias-profesionales/informatica-comunicaciones/admin-sist-informaticos-red/atribucion-docente.html
Grado Superior,Informática y Comunicaciones,Técnico Superior en Administración de Sistemas Informáticos en Red,Administración de sistemas gestores de bases de datos,Informática (CAT/PES),https://www.todofp.es/que-estudiar/familias-profesionales/informatica-comunicaciones/admin-sist-informaticos-red/atribucion-docente.html
Grado Superior,Informática y Comunicaciones,Técnico Superior en Administración de Sistemas Informáticos en Red,Seguridad y alta disponibilidad,Informática (CAT/PES),https://www.todofp.es/que-estudiar/familias-profesionales/informatica-comunicaciones/admin-sist-informaticos-red/atribucion-docente.html
Grado Superior,Informática y Comunicaciones,Técnico Superior en Administración de Sistemas Informáticos en Red,Proyecto intermodular de administración de sistemas informáticos en red,Informática (CAT/PES),https://www.todofp.es/que-estudiar/familias-profesionales/informatica-comunicaciones/admin-sist-informaticos-red/atribucion-docente.html
Grado Superior,Informática y Comunicaciones,Técnico Superior en Administración de Sistemas Informáticos en Red,Sostenibilidad aplicada al sistema productivo,Informática (CAT/PES),https://www.todofp.es/que-estudiar/familias-profesionales/informatica-comunicaciones/admin-sist-informaticos-red/atribucion-docente.html
Grado Superior,Informática y Comunicaciones,Técnico Superior en Administración de Sistemas Informáticos en Red,Digitalización aplicada a los sectores productivos (GS),Informática (CAT/PES),https://www.todofp.es/que-estudiar/familias-profesionales/informatica-comunicaciones/admin-sist-informaticos-red/atribucion-docente.html
Grado Superior,Informática y Comunicaciones,Técnico Superior en Desarrollo de Aplicaciones Multiplataforma,Bases de Datos,Informática (CAT/PES),https://www.todofp.es/que-estudiar/familias-profesionales/informatica-comunicaciones/des-aplicaciones-multiplataforma/atribucion-docente.html
Grado Superior,Informática y Comunicaciones,Técnico Superior en Desarrollo de Aplicaciones Multiplataforma,Programación,Informática (CAT/PES),https://www.todofp.es/que-estudiar/familias-profesionales/informatica-comunicaciones/des-aplicaciones-multiplataforma/atribucion-docente.html
Grado Superior,Informática y Comunicaciones,Técnico Superior en Desarrollo de Aplicaciones Multiplataforma,Lenguajes de marcas y sistemas de gestión de información,Informática (CAT/PES),https://www.todofp.es/que-estudiar/familias-profesionales/informatica-comunicaciones/des-aplicaciones-multiplataforma/atribucion-docente.html
Grado Superior,Informática y Comunicaciones,Técnico Superior en Desarrollo de Aplicaciones Multiplataforma,Entornos de desarrollo,Informática (CAT/PES),https://www.todofp.es/que-estudiar/familias-profesionales/informatica-comunicaciones/des-aplicaciones-multiplataforma/atribucion-docente.html
Grado Superior,Informática y Comunicaciones,Técnico Superior en Desarrollo de Aplicaciones Multiplataforma,Acceso a datos,Informática (CAT/PES),https://www.todofp.es/que-estudiar/familias-profesionales/informatica-comunicaciones/des-aplicaciones-multiplataforma/atribucion-docente.html
Grado Superior,Informática y Comunicaciones,Técnico Superior en Desarrollo de Aplicaciones Multiplataforma,Programación multimedia y dispositivos móviles,Informática (CAT/PES),https://www.todofp.es/que-estudiar/familias-profesionales/informatica-comunicaciones/des-aplicaciones-multiplataforma/atribucion-docente.html
Grado Superior,Informática y Comunicaciones,Técnico Superior en Desarrollo de Aplicaciones Multiplataforma,Programación de servicios y procesos,Informática (CAT/PES),https://www.todofp.es/que-estudiar/familias-profesionales/informatica-comunicaciones/des-aplicaciones-multiplataforma/atribucion-docente.html
Grado Superior,Informática y Comunicaciones,Técnico Superior en Desarrollo de Aplicaciones Multiplataforma,Proyecto intermodular de desarrollo de aplicaciones multiplataforma,Informática (CAT/PES),https://www.todofp.es/que-estudiar/familias-profesionales/informatica-comunicaciones/des-aplicaciones-multiplataforma/atribucion-docente.html
Grado Superior,Informática y Comunicaciones,Técnico Superior en Desarrollo de Aplicaciones Multiplataforma,Sostenibilidad aplicada al sistema productivo,Informática (CAT/PES),https://www.todofp.es/que-estudiar/familias-profesionales/informatica-comunicaciones/des-aplicaciones-multiplataforma/atribucion-docente.html
Grado Superior,Informática y Comunicaciones,Técnico Superior en Desarrollo de Aplicaciones Multiplataforma,Digitalización aplicada a los sectores productivos (GS),Informática (CAT/PES),https://www.todofp.es/que-estudiar/familias-profesionales/informatica-comunicaciones/des-aplicaciones-multiplataforma/atribucion-docente.html
Grado Superior,Informática y Comunicaciones,Técnico Superior en Desarrollo de Aplicaciones Web,Bases de Datos,Informática (CAT/PES),https://www.todofp.es/que-estudiar/familias-profesionales/informatica-comunicaciones/des-aplicaciones-web/atribucion-docente.html
Grado Superior,Informática y Comunicaciones,Técnico Superior en Desarrollo de Aplicaciones Web,Programación,Informática (CAT/PES),https://www.todofp.es/que-estudiar/familias-profesionales/informatica-comunicaciones/des-aplicaciones-web/atribucion-docente.html
Grado Superior,Informática y Comunicaciones,Técnico Superior en Desarrollo de Aplicaciones Web,Lenguajes de marcas y sistemas de gestión de información,Informática (CAT/PES),https://www.todofp.es/que-estudiar/familias-profesionales/informatica-comunicaciones/des-aplicaciones-web/atribucion-docente.html
Grado Superior,Informática y Comunicaciones,Técnico Superior en Desarrollo de Aplicaciones Web,Entornos de desarrollo,Informática (CAT/PES),https://www.todofp.es/que-estudiar/familias-profesionales/informatica-comunicaciones/des-aplicaciones-web/atribucion-docente.html
Grado Superior,Informática y Comunicaciones,Técnico Superior en Desarrollo de Aplicaciones Web,Desarrollo web en entorno servidor,Informática (CAT/PES),https://www.todofp.es/que-estudiar/familias-profesionales/informatica-comunicaciones/des-aplicaciones-web/atribucion-docente.html
Grado Superior,Informática y Comunicaciones,Técnico Superior en Desarrollo de Aplicaciones Web,Despliegue de aplicaciones web,Informática (CAT/PES),https://www.todofp.es/que-estudiar/familias-profesionales/informatica-comunicaciones/des-aplicaciones-web/atribucion-docente.html
Grado Superior,Informática y Comunicaciones,Técnico Superior en Desarrollo de Aplicaciones Web,Proyecto intermodular de desarrollo de aplicaciones web,Informática (CAT/PES),https://www.todofp.es/que-estudiar/familias-profesionales/informatica-comunicaciones/des-aplicaciones-web/atribucion-docente.html
Grado Superior,Informática y Comunicaciones,Técnico Superior en Desarrollo de Aplicaciones Web,Sostenibilidad aplicada al sistema productivo,Informática (CAT/PES),https://www.todofp.es/que-estudiar/familias-profesionales/informatica-comunicaciones/des-aplicaciones-web/atribucion-docente.html
Grado Superior,Informática y Comunicaciones,Técnico Superior en Desarrollo de Aplicaciones Web,Digitalización aplicada a los sectores productivos (GS),Informática (CAT/PES),https://www.todofp.es/que-estudiar/familias-profesionales/informatica-comunicaciones/des-aplicaciones-web/atribucion-docente.html
Curso de especialización,Informática y Comunicaciones,Curso de Especialización en  Inteligencia Artificial y Big Data (Acceso GS),Modelos de Inteligencia Artificial,Informática (CAT/PES),https://www.todofp.es/que-estudiar/familias-profesionales/informatica-comunicaciones/ce-inteligencia-artificial-bigdata/atribucion-docente.html
Curso de especialización,Informática y Comunicaciones,Curso de Especialización en  Inteligencia Artificial y Big Data (Acceso GS),Sistemas de  aprendizaje automático,Informática (CAT/PES),https://www.todofp.es/que-estudiar/familias-profesionales/informatica-comunicaciones/ce-inteligencia-artificial-bigdata/atribucion-docente.html
Curso de especialización,Informática y Comunicaciones,Curso de Especialización en  Inteligencia Artificial y Big Data (Acceso GS),Programación de Inteligencia Artificial,Informática (CAT/PES),https://www.todofp.es/que-estudiar/familias-profesionales/informatica-comunicaciones/ce-inteligencia-artificial-bigdata/atribucion-docente.html
Curso de especialización,Informática y Comunicaciones,Curso de Especialización en Ciberseguridad en Entornos de las Tecnologías de la Información (Acceso GS),Incidentes de ciberseguridad,Informática (CAT/PES),https://www.todofp.es/que-estudiar/familias-profesionales/informatica-comunicaciones/ce-ciberseguridad-entornos-tecnologias-informacion/atribucion-docente.html
Curso de especialización,Informática y Comunicaciones,Curso de Especialización en Ciberseguridad en Entornos de las Tecnologías de la Información (Acceso GS),Hacking ético,Informática (CAT/PES),https://www.todofp.es/que-estudiar/familias-profesionales/informatica-comunicaciones/ce-ciberseguridad-entornos-tecnologias-informacion/atribucion-docente.html
Curso de especialización,Informática y Comunicaciones,Curso de Especialización en Ciberseguridad en Entornos de las Tecnologías de la Información (Acceso GS),Normativa de ciberseguridad,Informática (CAT/PES),https://www.todofp.es/que-estudiar/familias-profesionales/informatica-comunicaciones/ce-ciberseguridad-entornos-tecnologias-informacion/atribucion-docente.html
Curso de especialización,Informática y Comunicaciones,Curso de Especialización en Desarrollo de videojuegos y realidad virtual (Acceso GS),Programación en red e inteligencia artificial,Informática (CAT/PES),https://www.todofp.es/que-estudiar/familias-profesionales/informatica-comunicaciones/ce-desarrollo-videojuegos-realidad-virtual/atribucion-docente.html
Curso de especialización,Informática y Comunicaciones,Curso de Especialización en Desarrollo de videojuegos y realidad virtual (Acceso GS),"Diseño, gestión, publicación y producción",Informática (CAT/PES),https://www.todofp.es/que-estudiar/familias-profesionales/informatica-comunicaciones/ce-desarrollo-videojuegos-realidad-virtual/atribucion-docente.html
Curso de especialización,Informática y Comunicaciones,Curso de especialización de Desarrollo de aplicaciones en lenguaje Python (Acceso GS),Entornos y sintaxis en Python,Informática (CAT/PES),https://www.todofp.es/que-estudiar/familias-profesionales/informatica-comunicaciones/ce-lenguaje-phyton/atribucion-docente.html
Curso de especialización,Informática y Comunicaciones,Curso de especialización de Desarrollo de aplicaciones en lenguaje Python (Acceso GS),Estructuras de control en Python,Informática (CAT/PES),https://www.todofp.es/que-estudiar/familias-profesionales/informatica-comunicaciones/ce-lenguaje-phyton/atribucion-docente.html
Curso de especialización,Informática y Comunicaciones,Curso de especialización de Desarrollo de aplicaciones en lenguaje Python (Acceso GS),Programación orientada a objetos,Informática (CAT/PES),https://www.todofp.es/que-estudiar/familias-profesionales/informatica-comunicaciones/ce-lenguaje-phyton/atribucion-docente.html
Curso de especialización,Informática y Comunicaciones,Curso de especialización de Desarrollo de aplicaciones en lenguaje Python (Acceso GS),Análisis de datos con Python,Informática (CAT/PES),https://www.todofp.es/que-estudiar/familias-profesionales/informatica-comunicaciones/ce-lenguaje-phyton/atribucion-docente.html
Curso de especialización,Instalación y Mantenimiento,Curso de Especialización en Fabricación Inteligente (Acceso GS), Entornos conectados a red e internet de las cosas,Informática (CAT/PES),https://www.todofp.es/que-estudiar/familias-profesionales/instalacion-mantenimiento/ce-fabricacion-inteligente/atribucion-docente.html
